video_id;view_count;tags;url;duration_in_seconds
azNtRp1tay0;2194;Melbourne, Australia, Islamophobia, Headline, Hassan Khalif Shire Ali, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=azNtRp1tay0;66
T3GfIYxOoLA;9495;Ww1, World War 1, Ottoman Empire, Nation States, Europe, 100 Years, Middle East, The Sykes–picot Agreement, Colonialism, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=T3GfIYxOoLA;208
jM-piFl3HwA;3644;Yemen, Civil War, Saudi Arabia, Saudi-led Coalition, Armament, Airstrike, The World's Worst Humanitarian Crisis, US, Rebellion, Houthis, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=jM-piFl3HwA;99
6mpOFUK8DXY;1646;Killed, Israel, Palestine, Covert, Gaza, Operation, Airstrikes, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=6mpOFUK8DXY;32
sG2vbP8Qdpg;16036;Japan, Hatsune Miku, Hologram, Technology, Ai, Tokyo, Virtual Reality, Marriage, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=sG2vbP8Qdpg;92
XtznmeioJzU;1786;Precious Metals, Kilogram, Chemistry, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=XtznmeioJzU;55
yVXh4YQIoIQ;787;The Fantastic Four, Stan Lee, Comic Books, Spiderman, Marvel, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=yVXh4YQIoIQ;95
CEIO3LoDJzc;1160;Rajapaksa, Sirisena, Mahinda Rajapaksa, Sri Lanka, Parliament, Maithripala Sirisena, No-confidence Vote, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=CEIO3LoDJzc;50
n6Me0iCMhzY;504;Jewish, Muslim, Racism, Hate Crimes, Fbi, The US, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=n6Me0iCMhzY;82
SEYFyBBkgw8;3260;Israel, Palestinians, Bomb, Gaza, Hamas, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=SEYFyBBkgw8;96
Bg_umLnsUic;2114;International Relations, Gaza War, Egypt, Politics, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=Bg_umLnsUic;160
6zEGh0DHOiQ;743;Cambodia, Communism, Cambodian Genocide, International Tribune, Cham Muslims, Khmer Rouge, Vietnamese, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=6zEGh0DHOiQ;71
vwEX0P3dGNU;1752;Migrant Caravan 2018, Migrant Caravan Cnn, Migrant Caravan Live, Trump Migrant Caravan, Migrant Caravan Mexico, The Migrant Caravan, Snl Migrant Caravan, Fox News Migrant Caravan, Migrant Caravan Violence, Donald Trump, US Border, Migrant Caravan, Migrants, Mexico, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=vwEX0P3dGNU;57
YT6XkFxexCU;3532;Saudi Foreign Minister, Adel Al Jubeir, بيان النائب العام السعودي, Jamal, عادل الجبير خاشقجي, Khashoggi Jamal, Salah Khashoggi Cnn, Washington Post Jamal Khashoggi, Pembunuh Jamal Khashoggi, Cemal Kaşıkçı Ses Kaydı, Journalist, Mbs, Jamal Khashoggi, Saudi Arabia, Bin Salman, Istanbul, Hatice Cengiz, Turkey, Politics, Erdogan, Consulate, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=YT6XkFxexCU;220
TyIa5viq7VU;1139;Islam, Muslim, Cat Stevens, Peter Sanders, Bob Dylan, Photography, Rock, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=TyIa5viq7VU;187
5qbGuA-BFzQ;1443;Malaka Camp, Border, Great March of Return, Gaza, Palestine, Israel, Israel Palestine Conflict Documentary, Ben Shapiro Israel Palestine, Israel Palestine Conflict 2018, Israel Vs Palestine 2018, Israel Palestine Conflict, Israel and Palestine, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=5qbGuA-BFzQ;132
EiBUq1obwHo;352;America, Natural Disaster, California, US, Wildfires, Fire, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=EiBUq1obwHo;67
SFLQXE7xbY0;48841;Yemen, Mohammed Bin Salman, Un, Saudi Arabia, Trump, Houthi, Qatar, Lebanon, UAE, Rex Tillerson, Ritz-carlton Purge, Hariri, Khashoggi, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=SFLQXE7xbY0;296
fJMwv-RUruY;6343;Honduras, Mexico, Asylum, Migration, El Salvador, Migrant Caravan, Border, US, Anti-immigrant Protests, Tijuana, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=fJMwv-RUruY;88
NOOhyZ1E06s;8568;Mbs, Khashoggi, Crown Prince, Crown Prince Mohammed Bin Salman, King Salman, Saudi Arabia, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=NOOhyZ1E06s;56
fJHpMubjp3c;1202;Palestine, Conflict, Israeli Settlements, Airbnb, West Bank, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=fJHpMubjp3c;67
IGX5-uOd4QE;3692;Teens, Muslim, Mcdonald's, Gunman, Black, Minnesota, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=IGX5-uOd4QE;51
fXked_bHm6I;1993;Israel, Unrwa Cuts, Palestine Aid, Palestine, Trump Funding, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=fXked_bHm6I;204
W0_hnzy97Ak;909;Politics, Hudaida, Yemeni Crisis, Taiz Campaign, Houthi Movement, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=W0_hnzy97Ak;67
Bv27PMVzsbM;1482;Women, Crown Prince, Torture, Saudi Arabia, Mbs, Hrw, Harassment, Amnesty, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=Bv27PMVzsbM;60
MEkXE8bhfd4;1424;Crown Prince Mohammed Bin Zayed, Yemen, UAE, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=MEkXE8bhfd4;43
dZhqW62pSeg;50207;Shangai, China, Dolce Gabbana, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=dZhqW62pSeg;65
7q1R4Xivf4k;755;Dogs, South Korea, Dogmeat, Slaughterhouse, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=7q1R4Xivf4k;50
0Y1dFiaDQe8;1005;Murder, Saudi Arabia, Oil, Donald Trump, Jamal Khashoggi, Blood, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=0Y1dFiaDQe8;65
kXwKZlwQu-Q;2327;Djokovic, Man City, Dubai, UAE, Abu Dhabi, Etihad, F1, Murray, Psl, Pakistan Cricket Team, Hamilton, Pakistan Super League, Emirates, Arabian Peninsula, Middle East, Sports, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=kXwKZlwQu-Q;184
a3-4Nz8nANA;5385;Asia Bibi Protest, Asia Bibi Case in Pakistan, Asia Bibi News, Asia Bibi Latest News, News Live, Imran Khan Asia Bibi, Imran Khan, Gustakh E Rasool Asia Bibi, News Today, Arrest, Pakistan, Police, Cleric, Khadim Hussain Rizvi, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=a3-4Nz8nANA;54
gmEJeJjCh48;9561;UAE, Dubai, Psl, F1, Abu Dhabi, Man City, Pakistan Cricket Team, Pakistan Super League, Djokovic, Hamilton, Emirates, Murray, Etihad, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=gmEJeJjCh48;103
zHrcQEoT7_Y;11208;Migration, Yemen, Realpolitik, Syria, Realpolitiks, Myanmar, Far Right in Europe, Rohingya, Immigration, Refugee Crisis, Rise of Far-right, TRT, TRT World, TRT News;https://www.youtube.com/watch?v=zHrcQEoT7_Y;222
